Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,Formatted for charts
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Garrett County, Maryland",1092,,"1,092.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Garrett County, Maryland",6930,,"6,930.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Garrett County, Maryland",811,,811
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Garrett County, Maryland",446,,446
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Garrett County, Maryland",281,,281
2017,Median Household Income,,,"Garrett County, Maryland",48174,,"48,174.00"
2016,Median Household Income,,,"Garrett County, Maryland",46277,,"46,277.00"
2015,Median Household Income,,,"Garrett County, Maryland",45432,,"45,432.00"
2017,Total Population,,,"Garrett County, Maryland",29516,,"29,516.00"
2016,Total Population,,,"Garrett County, Maryland",29677,,"29,677.00"
2015,Total Population,,,"Garrett County, Maryland",29813,,"29,813.00"
2017,Unemployment By Gender,,Male,"Garrett County, Maryland",4.3,0.043,4.3
2017,Unemployment By Gender,,Female,"Garrett County, Maryland",4.9,0.049,4.9
2016,Unemployment By Gender,,Male,"Garrett County, Maryland",5.5,0.055,5.5
2016,Unemployment By Gender,,Female,"Garrett County, Maryland",5.8,0.058,5.8
2015,Unemployment By Gender,,Male,"Garrett County, Maryland",6.8,0.068,6.8
2015,Unemployment By Gender,,Female,"Garrett County, Maryland",7,0.07,7
2017,Unemployment By Race,,White,"Garrett County, Maryland",4.7,0.047,4.7
2017,Unemployment By Race,,Black,"Garrett County, Maryland",0,0,0
2017,Unemployment By Race,,Asian,"Garrett County, Maryland",0,0,0
2017,Unemployment By Race,,Hispanic,"Garrett County, Maryland",19.8,0.198,19.8
2016,Unemployment By Race,,White,"Garrett County, Maryland",,0,0
2016,Unemployment By Race,,Black,"Garrett County, Maryland",,0,0
2016,Unemployment By Race,,Asian,"Garrett County, Maryland",,0,0
2016,Unemployment By Race,,Hispanic,"Garrett County, Maryland",,0,0
2015,Unemployment By Race,,White,"Garrett County, Maryland",7.1,0.071,7.1
2015,Unemployment By Race,,Black,"Garrett County, Maryland",0,0,0
2015,Unemployment By Race,,Asian,"Garrett County, Maryland",0,0,0
2015,Unemployment By Race,,Hispanic,"Garrett County, Maryland",0,0,0
2017,Unemployment By Veteran Status,,Veteran,"Garrett County, Maryland",6.4,0.064,6.4
2017,Unemployment By Veteran Status,,Non Veteran,"Garrett County, Maryland",4.9,0.049,4.9
2016,Unemployment By Veteran Status,,Veteran,"Garrett County, Maryland",8.4,0.084,8.4
2016,Unemployment By Veteran Status,,Non Veteran,"Garrett County, Maryland",5.6,0.056,5.6
2015,Unemployment By Veteran Status,,Veteran,"Garrett County, Maryland",7.8,0.078,7.8
2015,Unemployment By Veteran Status,,Non Veteran,"Garrett County, Maryland",7.1,0.071,7.1
,Change,,Total Population,"Harford County, Maryland",356,,356
,Change,,Median Household Income,"Harford County, Maryland",2393,,"2,393.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5594,,"5,594.00"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",114771,,"114,771.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",870,,870
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",5424,,"5,424.00"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6464,,"6,464.00"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",120195,,"120,195.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5471,,"5,471.00"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",113773,,"113,773.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",917,,917
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",6215,,"6,215.00"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6388,,"6,388.00"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",119988,,"119,988.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Harford County, Maryland",5355,,"5,355.00"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Harford County, Maryland",113641,,"113,641.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Harford County, Maryland",1032,,"1,032.00"
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Harford County, Maryland",6806,,"6,806.00"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6387,,"6,387.00"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",120447,,"120,447.00"
2017,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4061,,"4,061.00"
2017,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",24097,,"24,097.00"
2017,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33614,,"33,614.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",44131,,"44,131.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",451,,451
2017,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1582,,"1,582.00"
2017,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1458,,"1,458.00"
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1011,,"1,011.00"
2017,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2829,,"2,829.00"
2017,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7159,,"7,159.00"
2017,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7563,,"7,563.00"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5470,,"5,470.00"
2016,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",4028,,"4,028.00"
2016,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",24973,,"24,973.00"
2016,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33325,,"33,325.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",42535,,"42,535.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",590,,590
2016,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1611,,"1,611.00"
2016,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1799,,"1,799.00"
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1091,,"1,091.00"
2016,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2856,,"2,856.00"
2016,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7337,,"7,337.00"
2016,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7627,,"7,627.00"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5730,,"5,730.00"
2015,Employment Status By Education,Employed,Less than Highschool,"Harford County, Maryland",3857,,"3,857.00"
2015,Employment Status By Education,Employed,Highschool,"Harford County, Maryland",25096,,"25,096.00"
2015,Employment Status By Education,Employed,Some College,"Harford County, Maryland",33750,,"33,750.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Harford County, Maryland",42214,,"42,214.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Harford County, Maryland",715,,715
2015,Employment Status By Education,Unemployed,Highschool,"Harford County, Maryland",1806,,"1,806.00"
2015,Employment Status By Education,Unemployed,Some College,"Harford County, Maryland",1953,,"1,953.00"
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Harford County, Maryland",1170,,"1,170.00"
2015,Employment Status By Education,NIL,Less than Highschool,"Harford County, Maryland",2586,,"2,586.00"
2015,Employment Status By Education,NIL,Highschool,"Harford County, Maryland",7454,,"7,454.00"
2015,Employment Status By Education,NIL,Some College,"Harford County, Maryland",7678,,"7,678.00"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Harford County, Maryland",5519,,"5,519.00"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Harford County, Maryland",130333,,"130,333.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5885,,"5,885.00"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Harford County, Maryland",124746,,"124,746.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4327,,"4,327.00"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Harford County, Maryland",5587,,"5,587.00"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1558,,"1,558.00"
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Harford County, Maryland",130051,,"130,051.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",5941,,"5,941.00"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Harford County, Maryland",123547,,"123,547.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4339,,"4,339.00"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Harford County, Maryland",6504,,"6,504.00"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1602,,"1,602.00"
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Harford County, Maryland",68183,,"68,183.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Harford County, Maryland",6226,,"6,226.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Harford County, Maryland",64136,,"64,136.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Harford County, Maryland",4493,,"4,493.00"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Harford County, Maryland",4047,,"4,047.00"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Harford County, Maryland",1733,,"1,733.00"
2017,Median Household Income,,,"Harford County, Maryland",83445,,"83,445.00"
2016,Median Household Income,,,"Harford County, Maryland",81052,,"81,052.00"
2015,Median Household Income,,,"Harford County, Maryland",80465,,"80,465.00"
2017,Total Population,,,"Harford County, Maryland",250132,,"250,132.00"
2016,Total Population,,,"Harford County, Maryland",249776,,"249,776.00"
2015,Total Population,,,"Harford County, Maryland",248966,,"248,966.00"
2017,Unemployment By Gender,,Male,"Harford County, Maryland",4.8,0.048,4.8
2017,Unemployment By Gender,,Female,"Harford County, Maryland",4.3,0.043,4.3
2016,Unemployment By Gender,,Male,"Harford County, Maryland",5.6,0.056,5.6
2016,Unemployment By Gender,,Female,"Harford County, Maryland",4.9,0.049,4.9
2015,Unemployment By Gender,,Male,"Harford County, Maryland",6,0.06,6
2015,Unemployment By Gender,,Female,"Harford County, Maryland",5.4,0.054,5.4
2017,Unemployment By Race,,White,"Harford County, Maryland",4.7,0.047,4.7
2017,Unemployment By Race,,Black,"Harford County, Maryland",8.6,0.086,8.6
2017,Unemployment By Race,,Asian,"Harford County, Maryland",7.1,0.071,7.1
2017,Unemployment By Race,,Hispanic,"Harford County, Maryland",5.1,0.051,5.1
2016,Unemployment By Race,,White,"Harford County, Maryland",,0,0
2016,Unemployment By Race,,Black,"Harford County, Maryland",,0,0
2016,Unemployment By Race,,Asian,"Harford County, Maryland",,0,0
2016,Unemployment By Race,,Hispanic,"Harford County, Maryland",,0,0
2015,Unemployment By Race,,White,"Harford County, Maryland",5.6,0.056,5.6
2015,Unemployment By Race,,Black,"Harford County, Maryland",10.5,0.105,10.5
2015,Unemployment By Race,,Asian,"Harford County, Maryland",10.2,0.102,10.2
2015,Unemployment By Race,,Hispanic,"Harford County, Maryland",6.9,0.069,6.9
2017,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",4.2,0.042,4.2
2017,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",5,0.05,5
2016,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",4.5,0.045,4.5
2016,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",5.6,0.056,5.6
2015,Unemployment By Veteran Status,,Veteran,"Harford County, Maryland",5.7,0.057,5.7
2015,Unemployment By Veteran Status,,Non Veteran,"Harford County, Maryland",6.2,0.062,6.2
,Change,,Total Population,"Howard County, Maryland",4048,,"4,048.00"
,Change,,Median Household Income,"Howard County, Maryland",1776,,"1,776.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Howard County, Maryland",5114,,"5,114.00"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",151330,,"151,330.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",676,,676
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",5771,,"5,771.00"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5790,,"5,790.00"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",157101,,"157,101.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Howard County, Maryland",4669,,"4,669.00"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",150169,,"150,169.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",808,,808
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",6221,,"6,221.00"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5477,,"5,477.00"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",156390,,"156,390.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Howard County, Maryland",4622,,"4,622.00"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Howard County, Maryland",148530,,"148,530.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Howard County, Maryland",691,,691
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Howard County, Maryland",6833,,"6,833.00"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",5313,,"5,313.00"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",155363,,"155,363.00"
2017,Employment Status By Education,Employed,Less than Highschool,"Howard County, Maryland",3843,,"3,843.00"
2017,Employment Status By Education,Employed,Highschool,"Howard County, Maryland",15808,,"15,808.00"
2017,Employment Status By Education,Employed,Some College,"Howard County, Maryland",26700,,"26,700.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",94809,,"94,809.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Howard County, Maryland",243,,243
2017,Employment Status By Education,Unemployed,Highschool,"Howard County, Maryland",1031,,"1,031.00"
2017,Employment Status By Education,Unemployed,Some College,"Howard County, Maryland",1622,,"1,622.00"
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",1966,,"1,966.00"
2017,Employment Status By Education,NIL,Less than Highschool,"Howard County, Maryland",2363,,"2,363.00"
2017,Employment Status By Education,NIL,Highschool,"Howard County, Maryland",4301,,"4,301.00"
2017,Employment Status By Education,NIL,Some College,"Howard County, Maryland",5315,,"5,315.00"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11741,,"11,741.00"
2016,Employment Status By Education,Employed,Less than Highschool,"Howard County, Maryland",3670,,"3,670.00"
2016,Employment Status By Education,Employed,Highschool,"Howard County, Maryland",15909,,"15,909.00"
2016,Employment Status By Education,Employed,Some College,"Howard County, Maryland",26498,,"26,498.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",93650,,"93,650.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Howard County, Maryland",242,,242
2016,Employment Status By Education,Unemployed,Highschool,"Howard County, Maryland",1169,,"1,169.00"
2016,Employment Status By Education,Unemployed,Some College,"Howard County, Maryland",1792,,"1,792.00"
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",2109,,"2,109.00"
2016,Employment Status By Education,NIL,Less than Highschool,"Howard County, Maryland",2127,,"2,127.00"
2016,Employment Status By Education,NIL,Highschool,"Howard County, Maryland",4358,,"4,358.00"
2016,Employment Status By Education,NIL,Some College,"Howard County, Maryland",5406,,"5,406.00"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11476,,"11,476.00"
2015,Employment Status By Education,Employed,Less than Highschool,"Howard County, Maryland",3871,,"3,871.00"
2015,Employment Status By Education,Employed,Highschool,"Howard County, Maryland",16106,,"16,106.00"
2015,Employment Status By Education,Employed,Some College,"Howard County, Maryland",26461,,"26,461.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Howard County, Maryland",92198,,"92,198.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Howard County, Maryland",238,,238
2015,Employment Status By Education,Unemployed,Highschool,"Howard County, Maryland",1227,,"1,227.00"
2015,Employment Status By Education,Unemployed,Some College,"Howard County, Maryland",1829,,"1,829.00"
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Howard County, Maryland",2563,,"2,563.00"
2015,Employment Status By Education,NIL,Less than Highschool,"Howard County, Maryland",2143,,"2,143.00"
2015,Employment Status By Education,NIL,Highschool,"Howard County, Maryland",4139,,"4,139.00"
2015,Employment Status By Education,NIL,Some College,"Howard County, Maryland",5560,,"5,560.00"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Howard County, Maryland",11408,,"11,408.00"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Howard County, Maryland",169200,,"169,200.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5616,,"5,616.00"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Howard County, Maryland",163140,,"163,140.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Howard County, Maryland",4353,,"4,353.00"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Howard County, Maryland",6060,,"6,060.00"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Howard County, Maryland",1263,,"1,263.00"
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Howard County, Maryland",168128,,"168,128.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5334,,"5,334.00"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Howard County, Maryland",161566,,"161,566.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Howard County, Maryland",4001,,"4,001.00"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Howard County, Maryland",6562,,"6,562.00"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Howard County, Maryland",1333,,"1,333.00"
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Howard County, Maryland",87695,,"87,695.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Howard County, Maryland",5416,,"5,416.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Howard County, Maryland",83635,,"83,635.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Howard County, Maryland",3983,,"3,983.00"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Howard County, Maryland",4060,,"4,060.00"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Howard County, Maryland",1433,,"1,433.00"
2017,Median Household Income,,,"Howard County, Maryland",115576,,"115,576.00"
2016,Median Household Income,,,"Howard County, Maryland",113800,,"113,800.00"
2015,Median Household Income,,,"Howard County, Maryland",110238,,"110,238.00"
2017,Total Population,,,"Howard County, Maryland",312495,,"312,495.00"
2016,Total Population,,,"Howard County, Maryland",308447,,"308,447.00"
2015,Total Population,,,"Howard County, Maryland",304115,,"304,115.00"
2017,Unemployment By Gender,,Male,"Howard County, Maryland",3.8,0.038,3.8
2017,Unemployment By Gender,,Female,"Howard County, Maryland",3.9,0.039,3.9
2016,Unemployment By Gender,,Male,"Howard County, Maryland",4.3,0.043,4.3
2016,Unemployment By Gender,,Female,"Howard County, Maryland",4,0.04,4
2015,Unemployment By Gender,,Male,"Howard County, Maryland",4.7,0.047,4.7
2015,Unemployment By Gender,,Female,"Howard County, Maryland",4.4,0.044,4.4
2017,Unemployment By Race,,White,"Howard County, Maryland",3.4,0.034,3.4
2017,Unemployment By Race,,Black,"Howard County, Maryland",7.6,0.076,7.6
2017,Unemployment By Race,,Asian,"Howard County, Maryland",3,0.03,3
2017,Unemployment By Race,,Hispanic,"Howard County, Maryland",6,0.06,6
2016,Unemployment By Race,,White,"Howard County, Maryland",,0,0
2016,Unemployment By Race,,Black,"Howard County, Maryland",,0,0
2016,Unemployment By Race,,Asian,"Howard County, Maryland",,0,0
2016,Unemployment By Race,,Hispanic,"Howard County, Maryland",,0,0
2015,Unemployment By Race,,White,"Howard County, Maryland",3.7,0.037,3.7
2015,Unemployment By Race,,Black,"Howard County, Maryland",9.2,0.092,9.2
2015,Unemployment By Race,,Asian,"Howard County, Maryland",4.5,0.045,4.5
2015,Unemployment By Race,,Hispanic,"Howard County, Maryland",4.5,0.045,4.5
2017,Unemployment By Veteran Status,,Veteran,"Howard County, Maryland",4,0.04,4
2017,Unemployment By Veteran Status,,Non Veteran,"Howard County, Maryland",4,0.04,4
2016,Unemployment By Veteran Status,,Veteran,"Howard County, Maryland",3.8,0.038,3.8
2016,Unemployment By Veteran Status,,Non Veteran,"Howard County, Maryland",4.3,0.043,4.3
2015,Unemployment By Veteran Status,,Veteran,"Howard County, Maryland",3.3,0.033,3.3
2015,Unemployment By Veteran Status,,Non Veteran,"Howard County, Maryland",4.7,0.047,4.7
,Change,,Total Population,"Kent County, Maryland",-153,,-153
,Change,,Median Household Income,"Kent County, Maryland",1610,,"1,610.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Kent County, Maryland",322,,322
2017,Employment Status By Disability Status,Employed,Non Disabled,"Kent County, Maryland",7745,,"7,745.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Kent County, Maryland",34,,34
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Kent County, Maryland",381,,381
2017,Employment Status By Disability Status,Labor Force,Disabled,"Kent County, Maryland",356,,356
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Kent County, Maryland",8126,,"8,126.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Kent County, Maryland",345,,345
2016,Employment Status By Disability Status,Employed,Non Disabled,"Kent County, Maryland",7802,,"7,802.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Kent County, Maryland",25,,25
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Kent County, Maryland",479,,479
2016,Employment Status By Disability Status,Labor Force,Disabled,"Kent County, Maryland",370,,370
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Kent County, Maryland",8281,,"8,281.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Kent County, Maryland",422,,422
2015,Employment Status By Disability Status,Employed,Non Disabled,"Kent County, Maryland",7657,,"7,657.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Kent County, Maryland",43,,43
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Kent County, Maryland",618,,618
2015,Employment Status By Disability Status,Labor Force,Disabled,"Kent County, Maryland",465,,465
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Kent County, Maryland",8275,,"8,275.00"
2017,Employment Status By Education,Employed,Less than Highschool,"Kent County, Maryland",655,,655
2017,Employment Status By Education,Employed,Highschool,"Kent County, Maryland",1796,,"1,796.00"
2017,Employment Status By Education,Employed,Some College,"Kent County, Maryland",1795,,"1,795.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Kent County, Maryland",2415,,"2,415.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Kent County, Maryland",62,,62
2017,Employment Status By Education,Unemployed,Highschool,"Kent County, Maryland",88,,88
2017,Employment Status By Education,Unemployed,Some College,"Kent County, Maryland",91,,91
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Kent County, Maryland",40,,40
2017,Employment Status By Education,NIL,Less than Highschool,"Kent County, Maryland",396,,396
2017,Employment Status By Education,NIL,Highschool,"Kent County, Maryland",603,,603
2017,Employment Status By Education,NIL,Some College,"Kent County, Maryland",491,,491
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Kent County, Maryland",556,,556
2016,Employment Status By Education,Employed,Less than Highschool,"Kent County, Maryland",629,,629
2016,Employment Status By Education,Employed,Highschool,"Kent County, Maryland",2053,,"2,053.00"
2016,Employment Status By Education,Employed,Some College,"Kent County, Maryland",1826,,"1,826.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Kent County, Maryland",2247,,"2,247.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Kent County, Maryland",75,,75
2016,Employment Status By Education,Unemployed,Highschool,"Kent County, Maryland",116,,116
2016,Employment Status By Education,Unemployed,Some College,"Kent County, Maryland",96,,96
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Kent County, Maryland",53,,53
2016,Employment Status By Education,NIL,Less than Highschool,"Kent County, Maryland",338,,338
2016,Employment Status By Education,NIL,Highschool,"Kent County, Maryland",686,,686
2016,Employment Status By Education,NIL,Some College,"Kent County, Maryland",445,,445
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Kent County, Maryland",547,,547
2015,Employment Status By Education,Employed,Less than Highschool,"Kent County, Maryland",577,,577
2015,Employment Status By Education,Employed,Highschool,"Kent County, Maryland",2101,,"2,101.00"
2015,Employment Status By Education,Employed,Some College,"Kent County, Maryland",1917,,"1,917.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Kent County, Maryland",2137,,"2,137.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Kent County, Maryland",63,,63
2015,Employment Status By Education,Unemployed,Highschool,"Kent County, Maryland",223,,223
2015,Employment Status By Education,Unemployed,Some College,"Kent County, Maryland",128,,128
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Kent County, Maryland",59,,59
2015,Employment Status By Education,NIL,Less than Highschool,"Kent County, Maryland",373,,373
2015,Employment Status By Education,NIL,Highschool,"Kent County, Maryland",641,,641
2015,Employment Status By Education,NIL,Some College,"Kent County, Maryland",445,,445
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Kent County, Maryland",498,,498
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Kent County, Maryland",8323,,"8,323.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Kent County, Maryland",802,,802
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Kent County, Maryland",7974,,"7,974.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Kent County, Maryland",694,,694
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Kent County, Maryland",349,,349
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Kent County, Maryland",108,,108
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Kent County, Maryland",8451,,"8,451.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Kent County, Maryland",788,,788
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Kent County, Maryland",8014,,"8,014.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Kent County, Maryland",685,,685
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Kent County, Maryland",437,,437
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Kent County, Maryland",103,,103
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Kent County, Maryland",4711,,"4,711.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Kent County, Maryland",666,,666
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Kent County, Maryland",4366,,"4,366.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Kent County, Maryland",513,,513
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Kent County, Maryland",345,,345
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Kent County, Maryland",153,,153
